Date,Close,Volume,SMA_50,SMA_200,ATR_14,Gold,INR
2014-09-17,457.3340148925781,21056800,457.3340148925781,457.3340148925781,15.752014160156307,1234.4000244140625,61.053001403808594
2014-09-18,424.4400024414063,34483200,440.8870086669922,440.8870086669922,29.991012573242216,1225.699951171875,60.90800094604492
2014-09-19,394.7959899902344,37919700,425.52333577473956,425.52333577473956,34.428334554036475,1215.300048828125,60.689998626708984
2014-09-22,402.1520080566406,24127600,414.4078369140625,414.4078369140625,27.621495564778645,1216.800048828125,60.85300064086914
2014-09-23,435.7909851074219,45099500,417.4625723702567,417.4625723702567,30.155569893973215,1221.0,61.0
2014-09-24,423.2049865722656,30627700,418.1803741455078,418.1803741455078,28.258625030517585,1218.5999755859375,60.97999954223633
2014-09-25,411.5740051269531,26814400,417.44633314344617,417.44633314344617,26.680111355251743,1221.199951171875,60.810001373291016
2014-09-26,404.4249877929688,21460800,416.1441986083984,416.1441986083984,25.50499877929688,1214.0999755859375,61.4900016784668
2014-09-29,375.4670104980469,32497700,408.73922964242786,408.73922964242786,23.38130540114183,1217.5,61.13800048828125
2014-09-30,386.9440002441406,34707300,407.1824275425502,407.1824275425502,22.963640485491077,1210.5,61.553001403808594
2014-10-01,383.614990234375,26229400,405.61126505533855,405.61126505533855,22.595567975725448,1214.5999755859375,61.81999969482422
2014-10-02,375.0719909667969,21777700,403.7025604248047,403.7025604248047,20.332781110491073,1214.199951171875,61.7130012512207
2014-10-03,359.5119934082031,30901200,401.10311530618105,401.10311530618105,18.65656825474331,1192.199951171875,61.439998626708984
2014-10-06,330.0790100097656,79011800,389.91039886474607,389.91039886474607,23.744857788085955,1206.699951171875,61.53799819946289
2014-10-07,336.18701171875,49199900,387.3521423339844,387.3521423339844,21.84521484375001,1211.699951171875,61.209999084472656
2014-10-08,352.94000244140625,54736300,385.787954157049,385.787954157049,22.716358729771212,1205.300048828125,61.27000045776367
2014-10-09,365.0260009765625,83641104,384.8852605405061,384.8852605405061,24.21543012346541,1224.5999755859375,60.880001068115234
2014-10-10,361.56201171875,43665700,383.9134585062663,383.9134585062663,24.727929251534608,1221.0,61.02000045776367
2014-10-13,390.41400146484375,35221400,383.15500103985823,383.15500103985823,25.724432809012285,1229.300048828125,61.27799987792969
2014-10-14,400.8699951171875,38491500,383.78767939976285,383.78767939976285,25.992289951869427,1233.5999755859375,61.00299835205078
2014-10-15,394.7730102539063,25267100,384.1664839119747,384.1664839119747,26.196718488420768,1244.0999755859375,61.393001556396484
2014-10-16,382.5559997558594,26990000,384.11280110677086,384.11280110677086,27.13857596261161,1240.5,61.37300109863281
2014-10-17,383.7579956054688,13600700,384.1013557680192,384.1013557680192,26.44236101422991,1238.300048828125,61.722999572753906
2014-10-20,382.8450012207031,16419000,384.44044135598574,384.44044135598574,19.429571969168514,1244.0,61.358001708984375
2014-10-21,386.4750061035156,14188900,384.4985717773437,384.4985717773437,18.93292672293526,1251.0,61.22800064086914
2014-10-22,383.1579895019531,11641300,384.4613333808051,384.4613333808051,17.443710327148434,1244.800048828125,61.143001556396484
2014-10-23,358.4169921875,26456900,383.75743226747255,383.75743226747255,16.98385402134486,1228.5,61.099998474121094
2014-10-24,358.3450012207031,15585700,383.08868408203125,383.08868408203125,16.19357081821986,1231.199951171875,61.130001068115234
2014-10-27,352.989013671875,13033000,380.7886345095751,380.7886345095751,14.639210292271201,1229.0999755859375,61.16299819946289
2014-10-28,357.6180114746094,7845880,380.23695300874255,380.23695300874255,13.640712193080352,1229.199951171875,61.29800033569336
2014-10-29,335.59100341796875,18192700,379.1986751112827,379.1986751112827,14.285642351422988,1224.300048828125,61.180999755859375
2014-10-30,345.30499267578125,30177900,378.4283641468395,378.4283641468395,13.578785487583705,1198.0999755859375,61.28300094604492
2014-10-31,338.3210144042969,12545400,377.5370897081163,377.5370897081163,13.636930193219866,1171.0999755859375,61.43299865722656
2014-11-03,327.5539855957031,12948500,374.3409169514974,374.3409169514974,13.70250374930246,1169.4000244140625,61.39799880981445
2014-11-04,330.49200439453125,15655500,373.4460411850287,373.4460411850287,13.336648123604915,1167.4000244140625,61.41299819946289
2014-11-05,339.4859924316406,19817200,372.76684020996095,372.76684020996095,13.80450439453125,1145.4000244140625,61.28799819946289
