Date,BTC,Oil,Gold,INR
2014-09-17,457.3340148925781,94.41999816894531,1234.4000244140625,61.053001403808594
2014-09-18,424.4400024414063,93.06999969482422,1225.699951171875,60.90800094604492
2014-09-19,394.7959899902344,92.41000366210938,1215.300048828125,60.689998626708984
2014-09-22,402.1520080566406,91.5199966430664,1216.800048828125,60.85300064086914
2014-09-23,435.7909851074219,91.55999755859375,1221.0,61.0
2014-09-24,423.2049865722656,92.80000305175781,1218.5999755859375,60.97999954223633
2014-09-25,411.5740051269531,92.52999877929688,1221.199951171875,60.810001373291016
2014-09-26,404.4249877929688,93.54000091552734,1214.0999755859375,61.4900016784668
2014-09-29,375.4670104980469,94.56999969482422,1217.5,61.13800048828125
2014-09-30,386.9440002441406,91.16000366210938,1210.5,61.553001403808594
2014-10-01,383.614990234375,90.7300033569336,1214.5999755859375,61.81999969482422
2014-10-02,375.0719909667969,91.01000213623047,1214.199951171875,61.7130012512207
2014-10-03,359.5119934082031,89.73999786376953,1192.199951171875,61.439998626708984
2014-10-06,330.0790100097656,90.33999633789062,1206.699951171875,61.53799819946289
2014-10-07,336.18701171875,88.8499984741211,1211.699951171875,61.209999084472656
2014-10-08,352.94000244140625,87.30999755859375,1205.300048828125,61.27000045776367
2014-10-09,365.0260009765625,85.7699966430664,1224.5999755859375,60.880001068115234
2014-10-10,361.56201171875,85.81999969482422,1221.0,61.02000045776367
2014-10-13,390.41400146484375,85.73999786376953,1229.300048828125,61.27799987792969
2014-10-14,400.8699951171875,81.83999633789062,1233.5999755859375,61.00299835205078
2014-10-15,394.7730102539063,81.77999877929688,1244.0999755859375,61.393001556396484
2014-10-16,382.5559997558594,82.69999694824219,1240.5,61.37300109863281
2014-10-17,383.7579956054688,82.75,1238.300048828125,61.722999572753906
2014-10-20,382.8450012207031,82.70999908447266,1244.0,61.358001708984375
2014-10-21,386.4750061035156,82.80999755859375,1251.0,61.22800064086914
2014-10-22,383.1579895019531,80.5199966430664,1244.800048828125,61.143001556396484
2014-10-23,358.4169921875,82.08999633789062,1228.5,61.099998474121094
2014-10-24,358.3450012207031,81.01000213623047,1231.199951171875,61.130001068115234
2014-10-27,352.989013671875,81.0,1229.0999755859375,61.16299819946289
2014-10-28,357.6180114746094,81.41999816894531,1229.199951171875,61.29800033569336
2014-10-29,335.59100341796875,82.19999694824219,1224.300048828125,61.180999755859375
2014-10-30,345.30499267578125,81.12000274658203,1198.0999755859375,61.28300094604492
2014-10-31,338.3210144042969,80.54000091552734,1171.0999755859375,61.43299865722656
2014-11-03,327.5539855957031,78.77999877929688,1169.4000244140625,61.39799880981445
2014-11-04,330.49200439453125,77.19000244140625,1167.4000244140625,61.41299819946289
2014-11-05,339.4859924316406,78.68000030517578,1145.4000244140625,61.28799819946289
2014-11-06,349.2900085449219,77.91000366210938,1142.300048828125,61.369998931884766
2014-11-07,342.4150085449219,78.6500015258789,1169.5999755859375,61.49300003051758
2014-11-10,366.9240112304688,77.4000015258789,1159.5999755859375,61.51300048828125
2014-11-11,367.6950073242188,77.94000244140625,1162.800048828125,61.529998779296875
2014-11-12,423.5610046386719,77.18000030517578,1158.9000244140625,61.4900016784668
2014-11-13,420.7349853515625,74.20999908447266,1161.0999755859375,61.36800003051758
2014-11-14,397.8179931640625,75.81999969482422,1185.0,61.59299850463867
2014-11-17,387.4079895019531,75.63999938964844,1183.0,61.70800018310547
2014-11-18,375.197998046875,74.61000061035156,1196.699951171875,61.823001861572266
2014-11-19,380.5549926757813,74.58000183105469,1193.5999755859375,61.71799850463867
2014-11-20,357.8399963378906,75.58000183105469,1190.699951171875,61.9379997253418
2014-11-21,350.8479919433594,76.51000213623047,1197.5,61.92300033569336
2014-11-24,376.9010009765625,75.77999877929688,1195.5,61.7599983215332
2014-11-25,375.3479919433594,74.08999633789062,1197.0999755859375,61.85300064086914
2014-11-26,368.3699951171875,73.69000244140625,1196.5999755859375,61.84000015258789
2014-11-27,369.6700134277344,,,61.78799819946289
2014-11-28,376.4469909667969,66.1500015258789,1175.199951171875,61.85300064086914
2014-12-01,379.2449951171875,69.0,1218.0,62.202999114990234
2014-12-02,381.3150024414063,66.87999725341797,1199.199951171875,61.948001861572266
2014-12-03,375.010009765625,67.37999725341797,1208.5,61.78799819946289
2014-12-04,369.60400390625,66.80999755859375,1207.5,61.85599899291992
2014-12-05,376.85400390625,65.83999633789062,1190.0999755859375,61.78300094604492
2014-12-08,361.9089965820313,63.04999923706055,1194.699951171875,61.9109992980957
2014-12-09,352.218994140625,63.81999969482422,1231.5,61.81800079345703
2014-12-10,346.364990234375,60.939998626708984,1228.9000244140625,61.87300109863281
2014-12-11,350.5060119628906,59.95000076293945,1225.0999755859375,62.00299835205078
2014-12-12,352.5419921875,57.810001373291016,1222.0,62.472999572753906
2014-12-15,345.3450012207031,55.90999984741211,1207.199951171875,62.518001556396484
2014-12-16,327.06201171875,55.93000030517578,1193.9000244140625,63.167999267578125
2014-12-17,319.7760009765625,56.470001220703125,1194.300048828125,63.65299987792969
2014-12-18,311.39599609375,54.11000061035156,1194.699951171875,63.518001556396484
2014-12-19,317.8429870605469,56.52000045776367,1195.9000244140625,62.983001708984375
2014-12-22,331.885986328125,55.2599983215332,1179.699951171875,63.2400016784668
2014-12-23,334.5719909667969,57.119998931884766,1177.9000244140625,63.222999572753906
2014-12-24,322.53399658203125,55.84000015258789,1173.5,63.43299865722656
2014-12-25,319.00799560546875,,,63.400001525878906
2014-12-26,327.92401123046875,54.72999954223633,1195.300048828125,63.51300048828125
